winner,A,B,A_synergy,B_synergy
1,"['lady geist', 'shiv', 'yamato', 'haze', 'abrams', 'infernus']","['vindicta', 'wraith', 'bebop', 'seven', 'pocket', 'grey talon']",7.525533818443382,7.526169085222085
0,"['bebop', 'infernus', 'lady geist', 'mcginnis', 'haze', 'pocket']","['grey talon', 'dynamo', 'vindicta', 'paradox', 'ivy', 'seven']",7.53291413078443,7.55362016728598
1,"['yamato', 'seven', 'dynamo', 'mcginnis', 'pocket', 'wraith']","['bebop', 'haze', 'warden', 'grey talon', 'ivy', 'kelvin']",7.462367341143459,7.486421528469541
1,"['grey talon', 'shiv', 'lady geist', 'wraith', 'paradox', 'dynamo']","['vindicta', 'ivy', 'seven', 'viscous', 'warden', 'infernus']",7.561093838565121,7.430706784948516
0,"['infernus', 'seven', 'lady geist', 'lash', 'viscous', 'bebop']","['grey talon', 'mcginnis', 'vindicta', 'haze', 'wraith', 'paradox']",7.47724562356237,7.568591585172173
1,"['bebop', 'warden', 'lash', 'haze', 'ivy', 'kelvin']","['viscous', 'lady geist', 'seven', 'vindicta', 'abrams', 'mcginnis']",7.417700927571636,7.363498957433773
1,"['kelvin', 'lash', 'vindicta', 'abrams', 'grey talon', 'mo & krill']","['haze', 'lady geist', 'paradox', 'seven', 'shiv', 'warden']",7.514753739647212,7.535081564196982
1,"['haze', 'ivy', 'infernus', 'abrams', 'kelvin', 'vindicta']","['lash', 'grey talon', 'seven', 'bebop', 'wraith', 'warden']",7.473603219780062,7.432490563095749
1,"['wraith', 'dynamo', 'viscous', 'mcginnis', 'ivy', 'infernus']","['seven', 'abrams', 'haze', 'bebop', 'kelvin', 'shiv']",7.463457575639609,7.469721038863205
1,"['haze', 'wraith', 'viscous', 'pocket', 'dynamo', 'paradox']","['lady geist', 'grey talon', 'yamato', 'infernus', 'mcginnis', 'seven']",7.459446548351206,7.496431742822117
1,"['abrams', 'yamato', 'haze', 'vindicta', 'bebop', 'wraith']","['viscous', 'dynamo', 'ivy', 'seven', 'infernus', 'warden']",7.518903378197409,7.430418265515247
0,"['seven', 'abrams', 'warden', 'bebop', 'haze', 'ivy']","['vindicta', 'lady geist', 'kelvin', 'paradox', 'mcginnis', 'infernus']",7.424592034881488,7.4763002432458165
0,"['viscous', 'wraith', 'paradox', 'mcginnis', 'lash', 'grey talon']","['warden', 'bebop', 'abrams', 'vindicta', 'haze', 'seven']",7.454542786249951,7.46207062100712
0,"['mcginnis', 'warden', 'lady geist', 'yamato', 'viscous', 'ivy']","['haze', 'vindicta', 'grey talon', 'bebop', 'seven', 'wraith']",7.362358909944175,7.576919215735156
1,"['dynamo', 'viscous', 'shiv', 'kelvin', 'haze', 'vindicta']","['abrams', 'infernus', 'ivy', 'lady geist', 'seven', 'wraith']",7.495041439882451,7.4414053857865845
0,"['haze', 'pocket', 'lash', 'mcginnis', 'vindicta', 'warden']","['shiv', 'wraith', 'grey talon', 'mo & krill', 'seven', 'infernus']",7.488511282385138,7.569741321377175
0,"['lady geist', 'ivy', 'bebop', 'haze', 'infernus', 'wraith']","['mo & krill', 'seven', 'vindicta', 'abrams', 'grey talon', 'warden']",7.5143845949861054,7.486026928608212
0,"['shiv', 'kelvin', 'seven', 'abrams', 'haze', 'bebop']","['warden', 'ivy', 'pocket', 'infernus', 'lady geist', 'yamato']",7.469721038863205,7.435047793232787
1,"['bebop', 'ivy', 'shiv', 'grey talon', 'haze', 'infernus']","['seven', 'dynamo', 'wraith', 'abrams', 'lash', 'yamato']",7.597802422477662,7.464076469861968
1,"['vindicta', 'infernus', 'kelvin', 'abrams', 'wraith', 'haze']","['shiv', 'lash', 'lady geist', 'seven', 'bebop', 'mcginnis']",7.4731531480506845,7.45837843733773
0,"['seven', 'lash', 'shiv', 'infernus', 'pocket', 'haze']","['bebop', 'wraith', 'paradox', 'abrams', 'grey talon', 'yamato']",7.590541462783541,7.524630919398392
1,"['seven', 'warden', 'dynamo', 'ivy', 'grey talon', 'abrams']","['lash', 'shiv', 'kelvin', 'lady geist', 'wraith', 'pocket']",7.43424116892466,7.3944189688210225
1,"['haze', 'wraith', 'paradox', 'abrams', 'seven', 'kelvin']","['mo & krill', 'shiv', 'vindicta', 'mcginnis', 'bebop', 'grey talon']",7.430635777644091,7.528883522505708
0,"['viscous', 'pocket', 'haze', 'vindicta', 'lash', 'mo & krill']","['shiv', 'dynamo', 'infernus', 'kelvin', 'bebop', 'grey talon']",7.539762925770756,7.5672370527894905
1,"['vindicta', 'haze', 'pocket', 'infernus', 'lady geist', 'bebop']","['warden', 'seven', 'wraith', 'grey talon', 'shiv', 'mcginnis']",7.580555243211078,7.421616041806448
1,"['haze', 'abrams', 'wraith', 'seven', 'pocket', 'mo & krill']","['shiv', 'infernus', 'ivy', 'vindicta', 'bebop', 'grey talon']",7.545834904571281,7.5785211011105025
0,"['vindicta', 'kelvin', 'haze', 'wraith', 'ivy', 'bebop']","['lash', 'infernus', 'seven', 'mo & krill', 'grey talon', 'lady geist']",7.495424736889251,7.56574190630755
0,"['ivy', 'wraith', 'yamato', 'warden', 'haze', 'kelvin']","['seven', 'paradox', 'pocket', 'mcginnis', 'lady geist', 'mo & krill']",7.409438553685381,7.519610154130795
1,"['grey talon', 'mcginnis', 'wraith', 'pocket', 'haze', 'yamato']","['bebop', 'infernus', 'ivy', 'vindicta', 'seven', 'mo & krill']",7.533741445175878,7.541879488567024
1,"['ivy', 'bebop', 'vindicta', 'grey talon', 'wraith', 'dynamo']","['lash', 'haze', 'warden', 'infernus', 'paradox', 'seven']",7.567329797651206,7.53462950055251
1,"['seven', 'kelvin', 'dynamo', 'bebop', 'wraith', 'grey talon']","['haze', 'infernus', 'vindicta', 'viscous', 'lash', 'mo & krill']",7.488441834380176,7.578617310742647
0,"['yamato', 'bebop', 'lash', 'shiv', 'haze', 'vindicta']","['seven', 'kelvin', 'paradox', 'wraith', 'mcginnis', 'warden']",7.548941186965999,7.3770251515029255
1,"['warden', 'paradox', 'mcginnis', 'haze', 'wraith', 'yamato']","['vindicta', 'mo & krill', 'grey talon', 'infernus', 'pocket', 'seven']",7.482305784993973,7.624014020553739
0,"['paradox', 'wraith', 'seven', 'abrams', 'vindicta', 'mo & krill']","['warden', 'infernus', 'mcginnis', 'grey talon', 'haze', 'ivy']",7.531438629389431,7.505608419117464
0,"['wraith', 'pocket', 'lady geist', 'vindicta', 'mcginnis', 'kelvin']","['grey talon', 'seven', 'haze', 'shiv', 'infernus', 'viscous']",7.408569134036467,7.560226202415559
1,"['vindicta', 'lady geist', 'yamato', 'haze', 'grey talon', 'seven']","['pocket', 'infernus', 'mcginnis', 'bebop', 'wraith', 'warden']",7.5658063709162215,7.457947307943336
0,"['warden', 'abrams', 'infernus', 'bebop', 'haze', 'vindicta']","['dynamo', 'ivy', 'wraith', 'seven', 'lady geist', 'kelvin']",7.5045366516740515,7.391826175181659
1,"['abrams', 'bebop', 'wraith', 'kelvin', 'haze', 'seven']","['yamato', 'grey talon', 'lady geist', 'dynamo', 'infernus', 'vindicta']",7.4392964783407685,7.572548126833795
0,"['grey talon', 'lash', 'bebop', 'seven', 'haze', 'pocket']","['abrams', 'dynamo', 'infernus', 'vindicta', 'wraith', 'paradox']",7.530433172320311,7.5243558782112565
1,"['kelvin', 'grey talon', 'bebop', 'lady geist', 'dynamo', 'infernus']","['haze', 'seven', 'wraith', 'paradox', 'mcginnis', 'vindicta']",7.526693462035752,7.541762946306332
1,"['abrams', 'bebop', 'vindicta', 'warden', 'seven', 'infernus']","['lash', 'lady geist', 'haze', 'wraith', 'grey talon', 'yamato']",7.44086284285147,7.516222002364414
0,"['haze', 'warden', 'viscous', 'seven', 'yamato', 'bebop']","['mcginnis', 'abrams', 'grey talon', 'wraith', 'vindicta', 'infernus']",7.433780998492896,7.497752037679879
1,"['paradox', 'vindicta', 'dynamo', 'haze', 'seven', 'wraith']","['lady geist', 'warden', 'mcginnis', 'abrams', 'ivy', 'infernus']",7.5649837528402095,7.37914281258141
1,"['warden', 'bebop', 'infernus', 'wraith', 'grey talon', 'seven']","['yamato', 'ivy', 'shiv', 'vindicta', 'haze', 'paradox']",7.494067197630795,7.5853631839133095
0,"['mo & krill', 'ivy', 'haze', 'bebop', 'paradox', 'viscous']","['yamato', 'seven', 'dynamo', 'vindicta', 'mcginnis', 'infernus']",7.605487408397437,7.533050521917121
1,"['vindicta', 'grey talon', 'yamato', 'seven', 'wraith', 'lash']","['kelvin', 'infernus', 'haze', 'abrams', 'bebop', 'mo & krill']",7.522597589548949,7.5714512451393645
0,"['haze', 'pocket', 'infernus', 'bebop', 'abrams', 'shiv']","['seven', 'viscous', 'yamato', 'grey talon', 'wraith', 'vindicta']",7.568304469953917,7.502967212724584
1,"['kelvin', 'vindicta', 'seven', 'bebop', 'yamato', 'paradox']","['haze', 'pocket', 'dynamo', 'wraith', 'infernus', 'ivy']",7.468020999848804,7.581955403104686
0,"['infernus', 'pocket', 'mcginnis', 'dynamo', 'bebop', 'wraith']","['viscous', 'haze', 'seven', 'yamato', 'warden', 'vindicta']",7.515462492652246,7.456522095328263
0,"['haze', 'mcginnis', 'grey talon', 'shiv', 'bebop', 'infernus']","['vindicta', 'warden', 'lady geist', 'seven', 'yamato', 'wraith']",7.586869306699066,7.449135654817631
1,"['abrams', 'mcginnis', 'vindicta', 'lash', 'infernus', 'haze']","['seven', 'wraith', 'mo & krill', 'bebop', 'pocket', 'kelvin']",7.526675078119001,7.480598365821675
0,"['shiv', 'seven', 'yamato', 'mcginnis', 'warden', 'bebop']","['kelvin', 'paradox', 'abrams', 'pocket', 'vindicta', 'lady geist']",7.403782672090211,7.394521338012018
0,"['bebop', 'mo & krill', 'grey talon', 'warden', 'lash', 'haze']","['infernus', 'seven', 'abrams', 'mcginnis', 'vindicta', 'dynamo']",7.548764674409604,7.475448560352351
1,"['grey talon', 'paradox', 'haze', 'vindicta', 'seven', 'infernus']","['wraith', 'bebop', 'viscous', 'pocket', 'ivy', 'abrams']",7.618069465427254,7.439826426406443
0,"['dynamo', 'mcginnis', 'lady geist', 'pocket', 'wraith', 'infernus']","['haze', 'bebop', 'seven', 'kelvin', 'vindicta', 'paradox']",7.491642286365986,7.522260155552669
1,"['pocket', 'dynamo', 'viscous', 'bebop', 'seven', 'grey talon']","['abrams', 'paradox', 'vindicta', 'mcginnis', 'lash', 'infernus']",7.4118849991314715,7.5250409557789215
1,"['vindicta', 'mcginnis', 'bebop', 'yamato', 'lash', 'kelvin']","['haze', 'wraith', 'grey talon', 'pocket', 'seven', 'shiv']",7.444646540050693,7.560614102943599
0,"['mcginnis', 'seven', 'haze', 'grey talon', 'pocket', 'yamato']","['kelvin', 'ivy', 'abrams', 'warden', 'infernus', 'vindicta']",7.514285439437994,7.381789630904529
1,"['dynamo', 'grey talon', 'abrams', 'haze', 'vindicta', 'lady geist']","['warden', 'wraith', 'bebop', 'infernus', 'seven', 'kelvin']",7.540327683564212,7.408589339964594
1,"['bebop', 'lash', 'wraith', 'vindicta', 'dynamo', 'haze']","['yamato', 'seven', 'mcginnis', 'lady geist', 'infernus', 'mo & krill']",7.568949755469545,7.495995609160471
1,"['dynamo', 'shiv', 'yamato', 'wraith', 'vindicta', 'lash']","['haze', 'grey talon', 'bebop', 'seven', 'warden', 'infernus']",7.526661954391534,7.541273281387715
0,"['seven', 'vindicta', 'mcginnis', 'haze', 'kelvin', 'pocket']","['yamato', 'warden', 'infernus', 'grey talon', 'ivy', 'wraith']",7.490921391628588,7.4938935496119985
0,"['lady geist', 'haze', 'seven', 'bebop', 'wraith', 'grey talon']","['infernus', 'paradox', 'abrams', 'pocket', 'vindicta', 'kelvin']",7.5392868289368105,7.46452489239824
1,"['haze', 'vindicta', 'bebop', 'viscous', 'mcginnis', 'infernus']","['paradox', 'seven', 'dynamo', 'wraith', 'yamato', 'mo & krill']",7.501188505110157,7.521167216718647
0,"['mo & krill', 'seven', 'dynamo', 'wraith', 'yamato', 'mcginnis']","['shiv', 'warden', 'vindicta', 'pocket', 'haze', 'infernus']",7.478016730156333,7.561495553115327
1,"['warden', 'vindicta', 'lady geist', 'wraith', 'abrams', 'bebop']","['dynamo', 'shiv', 'ivy', 'haze', 'mo & krill', 'infernus']",7.435262600758107,7.592348059471788
0,"['viscous', 'dynamo', 'haze', 'seven', 'lash', 'shiv']","['mcginnis', 'vindicta', 'infernus', 'wraith', 'grey talon', 'bebop']",7.514236925685548,7.543703436070147
1,"['mcginnis', 'bebop', 'infernus', 'wraith', 'vindicta', 'seven']","['haze', 'lady geist', 'yamato', 'grey talon', 'ivy', 'warden']",7.505784156665459,7.497493444980971
0,"['lady geist', 'haze', 'lash', 'bebop', 'mo & krill', 'pocket']","['paradox', 'seven', 'mcginnis', 'viscous', 'vindicta', 'grey talon']",7.536987772923259,7.458862521646566
1,"['pocket', 'abrams', 'dynamo', 'lady geist', 'bebop', 'seven']","['warden', 'haze', 'vindicta', 'yamato', 'infernus', 'shiv']",7.404051725810525,7.518194365603157
1,"['lash', 'haze', 'shiv', 'bebop', 'abrams', 'grey talon']","['pocket', 'yamato', 'infernus', 'seven', 'wraith', 'warden']",7.533419331551356,7.45287388148781
0,"['infernus', 'dynamo', 'pocket', 'shiv', 'seven', 'lady geist']","['mcginnis', 'vindicta', 'abrams', 'haze', 'wraith', 'yamato']",7.540062341938509,7.48588953941524
1,"['infernus', 'dynamo', 'haze', 'ivy', 'vindicta', 'seven']","['grey talon', 'wraith', 'kelvin', 'mcginnis', 'viscous', 'abrams']",7.5790020595245,7.3147868821973665
1,"['viscous', 'vindicta', 'pocket', 'mo & krill', 'paradox', 'haze']","['infernus', 'seven', 'mcginnis', 'abrams', 'kelvin', 'lady geist']",7.581052654486699,7.360940868919597
1,"['vindicta', 'bebop', 'grey talon', 'dynamo', 'mcginnis', 'seven']","['haze', 'infernus', 'paradox', 'warden', 'mo & krill', 'yamato']",7.492680094562906,7.580276260598751
1,"['kelvin', 'pocket', 'seven', 'mcginnis', 'vindicta', 'grey talon']","['haze', 'abrams', 'viscous', 'lash', 'wraith', 'lady geist']",7.450736360519295,7.408857724695333
0,"['mcginnis', 'paradox', 'bebop', 'dynamo', 'warden', 'seven']","['shiv', 'abrams', 'yamato', 'infernus', 'grey talon', 'haze']",7.452885442148623,7.5671606207493864
1,"['ivy', 'paradox', 'haze', 'mcginnis', 'abrams', 'bebop']","['warden', 'infernus', 'pocket', 'lady geist', 'shiv', 'seven']",7.521126170957452,7.48746310175596
0,"['seven', 'mo & krill', 'wraith', 'kelvin', 'bebop', 'infernus']","['grey talon', 'yamato', 'warden', 'dynamo', 'mcginnis', 'haze']",7.500845163671905,7.5460642245032865
1,"['shiv', 'grey talon', 'kelvin', 'mcginnis', 'pocket', 'infernus']","['vindicta', 'wraith', 'seven', 'abrams', 'haze', 'bebop']",7.5182745563723286,7.519184913167122
1,"['vindicta', 'yamato', 'abrams', 'viscous', 'infernus', 'ivy']","['wraith', 'shiv', 'bebop', 'seven', 'lady geist', 'dynamo']",7.495113677008721,7.506685810258723
1,"['kelvin', 'bebop', 'mo & krill', 'mcginnis', 'wraith', 'grey talon']","['shiv', 'infernus', 'seven', 'lady geist', 'paradox', 'viscous']",7.491342824352384,7.550585324867615
0,"['seven', 'viscous', 'kelvin', 'paradox', 'haze', 'yamato']","['vindicta', 'shiv', 'bebop', 'wraith', 'grey talon', 'abrams']",7.444778154280988,7.528655740805129
0,"['lady geist', 'paradox', 'mo & krill', 'warden', 'vindicta', 'mcginnis']","['viscous', 'abrams', 'shiv', 'infernus', 'haze', 'yamato']",7.512943013714142,7.523944006482953
1,"['yamato', 'lash', 'viscous', 'grey talon', 'bebop', 'mo & krill']","['vindicta', 'abrams', 'haze', 'wraith', 'seven', 'infernus']",7.56328231584292,7.5355681339926655
0,"['warden', 'yamato', 'grey talon', 'wraith', 'ivy', 'kelvin']","['vindicta', 'lash', 'bebop', 'mcginnis', 'seven', 'infernus']",7.427788442998857,7.519415324303747
0,"['paradox', 'seven', 'mcginnis', 'warden', 'lash', 'abrams']","['ivy', 'wraith', 'infernus', 'haze', 'vindicta', 'grey talon']",7.3795763937396135,7.592592780966182
0,"['wraith', 'shiv', 'infernus', 'seven', 'abrams', 'haze']","['dynamo', 'grey talon', 'paradox', 'warden', 'lady geist', 'vindicta']",7.5316024526189,7.562107941039837
1,"['paradox', 'grey talon', 'haze', 'infernus', 'bebop', 'pocket']","['lady geist', 'mcginnis', 'vindicta', 'seven', 'lash', 'yamato']",7.622117884506029,7.454601877373349
1,"['lady geist', 'haze', 'shiv', 'bebop', 'vindicta', 'grey talon']","['kelvin', 'mcginnis', 'infernus', 'yamato', 'seven', 'warden']",7.593622286617876,7.385487481084451
1,"['dynamo', 'vindicta', 'kelvin', 'wraith', 'haze', 'mo & krill']","['abrams', 'pocket', 'infernus', 'yamato', 'seven', 'grey talon']",7.533493768501207,7.502594769712783
1,"['paradox', 'bebop', 'seven', 'infernus', 'lash', 'dynamo']","['ivy', 'lady geist', 'pocket', 'vindicta', 'yamato', 'grey talon']",7.5874102339122205,7.495011711521907
0,"['seven', 'haze', 'bebop', 'mcginnis', 'vindicta', 'infernus']","['yamato', 'abrams', 'wraith', 'paradox', 'shiv', 'viscous']",7.55068074475575,7.489332025434452
0,"['mcginnis', 'lady geist', 'yamato', 'dynamo', 'wraith', 'pocket']","['bebop', 'lash', 'ivy', 'haze', 'grey talon', 'seven']",7.434073480651331,7.524396260175754
1,"['haze', 'vindicta', 'seven', 'bebop', 'abrams', 'paradox']","['wraith', 'lady geist', 'mo & krill', 'grey talon', 'infernus', 'pocket']",7.5247171143619624,7.580072269306284
0,"['infernus', 'yamato', 'haze', 'seven', 'vindicta', 'mcginnis']","['lady geist', 'wraith', 'dynamo', 'paradox', 'grey talon', 'bebop']",7.556140086222173,7.530384286709581
0,"['infernus', 'abrams', 'warden', 'haze', 'lady geist', 'viscous']","['mo & krill', 'seven', 'shiv', 'vindicta', 'mcginnis', 'grey talon']",7.431152011128047,7.519153115754795
1,"['shiv', 'yamato', 'seven', 'lady geist', 'dynamo', 'bebop']","['mo & krill', 'lash', 'viscous', 'wraith', 'warden', 'haze']",7.506640062081257,7.417700312497529
1,"['infernus', 'dynamo', 'ivy', 'seven', 'lash', 'pocket']","['bebop', 'haze', 'warden', 'viscous', 'wraith', 'lady geist']",7.537594125646774,7.429834467226535
0,"['seven', 'warden', 'bebop', 'abrams', 'dynamo', 'shiv']","['grey talon', 'haze', 'ivy', 'yamato', 'mo & krill', 'vindicta']",7.417375937487505,7.599784066316714
0,"['mcginnis', 'bebop', 'vindicta', 'infernus', 'wraith', 'abrams']","['shiv', 'lash', 'seven', 'mo & krill', 'grey talon', 'haze']",7.486310284012161,7.561544129339895
1,"['dynamo', 'wraith', 'shiv', 'kelvin', 'warden', 'infernus']","['ivy', 'grey talon', 'bebop', 'mcginnis', 'seven', 'vindicta']",7.462681957761473,7.482940046383326
1,"['seven', 'haze', 'bebop', 'wraith', 'lash', 'abrams']","['pocket', 'kelvin', 'mcginnis', 'paradox', 'lady geist', 'warden']",7.489005559305072,7.408528037163521
0,"['dynamo', 'haze', 'lash', 'shiv', 'wraith', 'vindicta']","['paradox', 'grey talon', 'bebop', 'infernus', 'seven', 'ivy']",7.553306187178771,7.57505611660186
1,"['infernus', 'vindicta', 'bebop', 'yamato', 'pocket', 'wraith']","['shiv', 'haze', 'kelvin', 'viscous', 'seven', 'mcginnis']",7.5341533131760166,7.426012857022078
0,"['shiv', 'mo & krill', 'mcginnis', 'wraith', 'viscous', 'yamato']","['haze', 'vindicta', 'warden', 'lash', 'lady geist', 'pocket']",7.47287116028578,7.501226948556595
1,"['paradox', 'haze', 'wraith', 'yamato', 'mo & krill', 'grey talon']","['dynamo', 'infernus', 'pocket', 'shiv', 'vindicta', 'seven']",7.623265401274393,7.568991521155256
1,"['ivy', 'pocket', 'lady geist', 'bebop', 'mo & krill', 'viscous']","['haze', 'lash', 'vindicta', 'wraith', 'seven', 'grey talon']",7.4548007773832206,7.540131633433175
0,"['lash', 'abrams', 'seven', 'wraith', 'infernus', 'vindicta']","['bebop', 'warden', 'yamato', 'pocket', 'mcginnis', 'haze']",7.493648849261461,7.4580803529058
1,"['abrams', 'wraith', 'grey talon', 'lady geist', 'seven', 'vindicta']","['pocket', 'haze', 'mcginnis', 'bebop', 'viscous', 'ivy']",7.483842242907869,7.451683821384258
1,"['wraith', 'seven', 'bebop', 'yamato', 'vindicta', 'pocket']","['dynamo', 'haze', 'mcginnis', 'warden', 'shiv', 'paradox']",7.484474173444804,7.557814150787346
0,"['warden', 'grey talon', 'paradox', 'seven', 'infernus', 'abrams']","['bebop', 'shiv', 'haze', 'wraith', 'dynamo', 'vindicta']",7.468364790291423,7.58646669220515
0,"['yamato', 'wraith', 'grey talon', 'infernus', 'bebop', 'paradox']","['lash', 'seven', 'viscous', 'ivy', 'mcginnis', 'haze']",7.593117887859791,7.450587881705156
0,"['seven', 'haze', 'shiv', 'ivy', 'bebop', 'grey talon']","['dynamo', 'infernus', 'kelvin', 'mcginnis', 'abrams', 'wraith']",7.549019423098318,7.410924382301103
1,"['pocket', 'wraith', 'viscous', 'mcginnis', 'seven', 'bebop']","['warden', 'vindicta', 'infernus', 'abrams', 'haze', 'grey talon']",7.353966969883739,7.520521138657369
0,"['wraith', 'infernus', 'mo & krill', 'bebop', 'vindicta', 'yamato']","['seven', 'paradox', 'haze', 'warden', 'shiv', 'grey talon']",7.5360737497042924,7.539345290896384
0,"['ivy', 'pocket', 'haze', 'yamato', 'viscous', 'bebop']","['mo & krill', 'infernus', 'lady geist', 'vindicta', 'wraith', 'dynamo']",7.480015892493891,7.514878284356597
0,"['mcginnis', 'abrams', 'viscous', 'paradox', 'mo & krill', 'lady geist']","['pocket', 'lash', 'wraith', 'bebop', 'vindicta', 'infernus']",7.476047490153205,7.54629220672796
0,"['warden', 'shiv', 'vindicta', 'wraith', 'seven', 'infernus']","['bebop', 'mo & krill', 'lady geist', 'lash', 'ivy', 'abrams']",7.46708587634474,7.4704718235701435
0,"['bebop', 'wraith', 'vindicta', 'seven', 'dynamo', 'mo & krill']","['kelvin', 'mcginnis', 'viscous', 'shiv', 'infernus', 'haze']",7.496450061505881,7.469705428141502
0,"['haze', 'bebop', 'mo & krill', 'kelvin', 'lady geist', 'wraith']","['lash', 'pocket', 'paradox', 'seven', 'vindicta', 'viscous']",7.4839362231137505,7.467227281526783
0,"['lash', 'infernus', 'shiv', 'vindicta', 'bebop', 'grey talon']","['wraith', 'haze', 'kelvin', 'seven', 'paradox', 'lady geist']",7.582845272337287,7.458496801930799
1,"['shiv', 'seven', 'mo & krill', 'vindicta', 'abrams', 'warden']","['wraith', 'haze', 'viscous', 'paradox', 'grey talon', 'infernus']",7.4134567609866755,7.572072497594334
0,"['bebop', 'mcginnis', 'grey talon', 'seven', 'vindicta', 'shiv']","['haze', 'kelvin', 'infernus', 'lady geist', 'abrams', 'wraith']",7.500758495446867,7.431712064141713
0,"['wraith', 'vindicta', 'mo & krill', 'lash', 'infernus', 'haze']","['bebop', 'grey talon', 'kelvin', 'seven', 'mcginnis', 'pocket']",7.564404748444692,7.413486496620663
1,"['seven', 'mcginnis', 'vindicta', 'pocket', 'haze', 'infernus']","['warden', 'grey talon', 'shiv', 'bebop', 'wraith', 'viscous']",7.575561990444884,7.443578195225307
1,"['vindicta', 'seven', 'wraith', 'paradox', 'kelvin', 'ivy']","['infernus', 'lady geist', 'viscous', 'grey talon', 'dynamo', 'haze']",7.468486924227606,7.537138057151794
0,"['vindicta', 'mcginnis', 'infernus', 'abrams', 'shiv', 'paradox']","['haze', 'bebop', 'yamato', 'seven', 'warden', 'wraith']",7.533802298970983,7.465199827913532
